id,clarification_question
7799,are you interested in univariate multiple regression ( one predicted variable ) or multivariate multiple regression ( many predicted variables analyzed simultaneously ) ?
9213,"did you want to write p ( e l , t ) = 1 . 0 instead of the second p ( e l , t ) = 1 . 0 ?"
11829,"what do you mean by "" the independant variable is with log link "" ?"
14763,what do you mean by structural breaks ?
17708,the answer should be data dependent . are you asking how to determine them ?
21630,"the answer to your question is "" no "" , unless your daily demands are all the same . irishstat , below , lists a bunch of things that can affect time series . also , when you say , "" can i forecast just for one period "" , what kind of method are you using to forecast ?"
23832,to what does that last sentence refer ?
27900,"you mention the lme package on the title , and nlme on your question . which is the correct package ?"
30075,"could you add details to your quite reserved question . examples . and do you consider here both stages of lda - extraction and classification , - or classification only ?"
243153,"it might depend on context . can you offer an explicit example , in context , with a proper reference ?"
12676,"can you add a proper citation , or better an on-line version of the paper ?"
17293,how do you know there is overdispersion without first doing the poisson regression ?
17417,weren't the bayesians before the frequentists ?
18184,can the blocks overlap ?
18279,are these actually * negative * log posteriors ?
18604,"some clarification might be helpful . you say want to build a 'predictive model' , what is it you want to predict ?"
18606,"i'm not sure what you mean by "" strong , linear , growing correlation "" . can you show the plot ?"
18848,"terminology like "" gender affects the relationship "" may be confusing you . with very few exceptions , people do not change their gender ( and when they do , i doubt it affects their research-purchasing patterns ) . what you seem to want to know is "" how does the relationship between x and y differ by gender ?"
19014,can you also keep count of the number of copies of each unique value in the sample ?
19158,"are these lists of * words , * of * phrases , * * sentences , * * paragraphs , * * entire documents , * or something else ?"
19216,very similar question here : url is there any more you're looking for ?
19427,how many rows of data are we talking about here ?
19629,could you elaborate on why you think the lower bound must be $ 0 $ for $ x times y $ ?
19873,"( 1 ) when you speak of pcs , am i right in assuming it is related to classical pca and not factor analytic methods ?"
20101,"is the question oen about the difference between the functions prcomp and princomp in r or about the difference between "" q-mode "" and "" r-mode pca "" ?"
20130,sufficient for what parameter ( s ) ?
20196,what is your definition ( because there are so many ! ) of convergent vs . discriminant validity ?
20469,do you have any reference or any measure on true votes ?
20545,"can we assume that the states are in a random order , and that the fitness of a particular state is independent of where it falls in the sequence ?"
20568,have you seen this ?
20638,"the answer will depend on 1 ) the distribution you expect for the concentration of each sample ( if you sample from a slightly heterogeneous solution ) , and on 2 ) the distribution of the errors of the analysis method . i assume there are usual hypothesis for this , like for 2 ) centered gaussian error , are you aware of this ?"
21109,what do you mean by significantly different ?
21115,how are your data represented ?
21214,what part of your question is not answered by [ this page ] ( url ) ?
21439,what do you suppose is the relationship between this player's probability and the probability for each of the other 1000 players ?
21484,i do not understand the question . see [ what is the difference between a population and a sample ?
21668,are you aware of r ?
21736,i'm confused with your terminology . could you give a specific example ?
21949,1 ) what are you stratifying on ?
22069,"hi there , when you say time series analysis do you mean an analysis like ` arima ` or do you mean something like a regression with a lag factor ?"
22200,how many times do you plan on doing this ?
22189,have you tried adding skip-layer connections ?
22239,"are you interested in all methods of data mining , or just one method in particular ?"
22619,what software do you wish to use for this ?
22840,what did you try so far ?
22896,"you need to explain more , with a full example ; ` mvpart ( ) ` is a complex function doing all sorts of things . what do you mean by "" tree output "" ?"
22916,"are you treating your categorical variables as categorical , or are you regressing them as if their numeric encodings were mere numbers ?"
23024,"are you desiring a closed-form solution , or would you be willing to use mcmc techniques to generate a ( large ) sample from the posterior distribution ?"
23038,why would you want to use use kernel density estimation when all the values are the same ?
23076,"to clarify , by 'distribution of random effects estimator' do you mean the distribution of the variance of the random effects ?"
23090,"is your question answered by this other question , [ is there a good reason for the name missing at random ?"
23369,"to clarify , is this text data , or audio data ?"
23808,"could you clarify "" highly skewed along some of the dummy variables "" ?"
23856,"could you explain what you mean by successes being "" in a specific order "" ?"
23873,"gschneider you asked for the jt test , didn't you ?"
24033,"could you please explain why you cannot use the "" usual approaches "" ?"
24263,"when you say "" multiple cross-validation "" , do you mean that you run $ m $ times a $ k $ -fold cross-validation ?"
24284,"hi bonnie , could you provide more details about your design ?"
24367,"the second document provides three changepoint methods : ` cpt . mean ` to detect changes in mean , ` cpt . var ` to detect changes in variances , and ` cpt . meanvar ` to detect changes in both ( with "" three distributional choices "" ) . does that not answer the question ?"
24437,in what context ?
24559,i agree with epigrad's answer . i am wondering where this term cropped up in your situation - did someone publish a paper on the test using this term ?
24680,"hi there , welcome to the site . could you post the ` lm ` code that you are using - both sets ?"
24894,we already answered that in your other post url . you just have to check inequality ( * ) . what is the deal of doing that ?
24919,why can't you use logistic regression ?
24944,"it's easy to come up with many different ways of quantifying "" similar "" in this context . it's hard to choose among them without knowing anything about * why * you seek to measure similarity , * what * you will conclude from the result , and what the possible consequences of an incorrect conclusion might be . it would also help immensely to have some kind of model , either physical or statistical , describing * how * differences between the matrices can arise . could you perhaps share some of that kind of information with us ?"
25016,. . . have you tried it ?
25190,what is the outcome you want to classify ?
25334,"just to clarify , is this the type of data : ( a ) of 1000 supermarket trips on which tide was purchased , crest was purchased on 139 . ( b ) of 300 supermarket trips on which crest was purchased , tide was purchased on 60 . if so , do you have other information ( e . g . to establish whether this is a higher than lower than normal rate ) ?"
25372,"i don't see a $ chi ^ 2 $ statistic or distribution here . the expression in the first formula is a sum of weighted squared residuals . it is not a $ chi ^ 2 $ statistic , nor will it generally have a $ chi ^ 2 $ distribution , nor does it test goodness of fit . ( if you were to replace $ sigma_i ^ 2 $ by $ f ( x_i , beta ) $ you would have something like a $ chi ^ 2 $ statistic . ) accordingly , the question as stated does not seem to make sense . perhaps you could tell us what kind of data you have and what you are trying to accomplish ?"
25603,for clarification - are the two significant relationships also significant in study t ?
25690,can you explain further what you mean ?
26236,"if you type ` help . zelig ( "" models "" ) ` you can see a list of the models that are supported by ` zelig ( ) ` . it looks like beta regression models are not supported at this time , but you might be better off asking on the ` zelig ` mailing list ( url ) . they'll be able to tell you with certainty if it is or isn't supported ( and if it isn't , what the likelihood that it eventually will be ) . is there a reason you can't do beta regression directly ?"
26261,are you seeking an authoritative answer or a collection of different opinions ?
26438,"although a section begins "" my question is , "" i cannot discern any question there . what do you need to know ?"
26712,how about [ this post ] ( url ) ?
26720,do you mean to say these x values are character representations of numbers ?
26722,what is this matrix supposed to represent ?
26841,"i'm confused about several aspects of this question . first , presumably your "" $ f ( theta ; x ) $ "" is an abuse of notation to mean $ f ( x ; theta ) $ ( for otherwise you have merely switched the names of the variables ) . but why can you call $ f ( x ; theta ) $ * qua * function of $ theta $ a "" distribution "" when it is usually not normalized ( and sometimes not even integrable ) ?"
27313,""" how do i accept an answer on this website ?"
27651,what kind of background do the audience have ?
27677,"as i do not have the access to the article at the moment , i would say that the difference is in the assumptions . if you run regression with instrumental variables you assume that some of your variables are endogenous , i . e . they correlate with the regression disturbances . if they truly are , running the fixed effects regression will not solve this , hence your estimates will be inconsistent and biased . are you looking for such type of explanation ?"
27817,"first , the margin of error given in the wiki article was based on a binary outcome with a 50 / 50 chance of success , which would have the maximal margin of error - so the margin of error is at most 0 . 049 - this same logic applies for any binary outcome , not just poll results . second , are you asking that if you sampled 400 people and the algorithm worked for all 400 people , can you conclude that the algorithm would work for 100 % of the population ?"
27831,"maybe if one estimates the link function , it could be seen as semi-parametric . also , could it be that "" the people "" mean generalized additive models ?"
27833,by two groups do you mean groups defined by their binary response ?
28165,what kind of model ?
28571,what exactly do you mean by selecting the weight ?
28605,what does it mean when you say that * * probabilities aren't correlated ?
28665,how big is your corpus ?
28921,"how is "" finding the best model parameters "" different from "" training the model "" ?"
28988,"i'm unclear what "" covariance type "" means here - what are the options ?"
29158,i'd be curious to have some more context -- why do you care ?
28715,is it time series data ?
29262,is this homework ?
29438,"the answer varies according to your reason for considering the transformation : whether it is for exploratory or confirmatory purposes , whether it is a dependent or independent variable in a regression , and so on . could you perhaps share some of that relevant information with us so we can give you appropriate , focused answers ?"
29477,are there 100 or 1000 ?
29544,"what do you precisely mean by "" bias "" ?"
29697,"do the events of type $ a $ , $ b $ , $ c $ occur before the start of the follow-up period , or during it ?"
29705,how is what you're wanting to do different from a goodness-of-fit test that your data come from the uniform measure on the $ s ^ { p-1 } $ sphere ?
29713,"also of interest : "" [ how would you explain covariance to someone who understands only the mean ?"
29756,why not transform your data ?
29932,"link is broken . can you update it , please ?"
29977,could you give the full reference of flurry 1988 ?
30087,"for clarity , is it the case that your experiment is 2 ( before vs . after ) x 2 ( condition a vs . condition b ) , eg ?"
30620,how do you get bivariate correlation for a sample vs a mean vector ?
30982,interesting question . are you considering independent entries ?
31141,"because the question is probably sufficiently challenging that there isn't an obvious standard methodology . rather than "" i want to use well-known statistical procedure x , is it implemented in r / how do i go about using it ?"
31510,have you thought of using squared correlations ?
65280,"is it fair to say that by "" relevelling "" you mean you are changing the base category for the factors ?"
69840,what's a nonparametric distribution ?
97512,"what do you mean by "" determine joint and marginal distribution "" ?"
110807,"is that the same thing as a variance-covariance matrix , also called a parameter covariance matrix ?"
197920,"as far as i know , it's still not possible . what kind of model are you fitting that nlme isn't suitable ?"
233324,couldn't you try a symbolic mathematical computation program ?
69974,"did you make sure that , when spss generates its own dummy codes with by , the reference category is the same category as the one with a value of 0 on your own dummy codes ?"
33043,does any underlying theory predict the interaction ought to be there ?
273573,something is incorrectly stated . if 12 sides pay 11 to 1 and the other 20 to 1 how can you lose ?
274853,this looks like a fairly routine textbook-style question . is this work for some subject ?
276085,could you post some code and / or the output ?
283918,why aren't you including a constant term in the model ?
20680,you want to run the model again in spss ?
22912,you just wrote down the estimator of $ beta $ . what else do you want to know ?
23313,"i'm curious even about the two-variable case . what exactly is "" shared variance "" when the covariance is * negative * ?"
25802,"pca is probably not the best method to deal with a mix of continuous and categorical predictors . are you interested in performing a separate or prior [ feature selection ] ( url ) , or are you looking after modeling strategies with some form of penalization that allow to cope with large number of predictors ?"
25785,"i guess i don't understand the dilemma . $ e ( c ) = c $ for any constant , $ c $ . multiply through by $ -1 $ and you have $ -e ( c ) = -c $ . were you asking anything else ?"
32106,the tails of the lognormal and log-t are going to be different independently of the sample . what is the goal of your comparison ?
33010,"are $ x_1 , x_2 $ correlated ?"
33499,""" best "" in what sense ?"
46325,are a and b always going to be integers ?
52318,"you are using somewhat confusing terminology , since "" test "" and "" assume "" have their own meaning in the statistics world . do you want to investigate if there are more "" 1 "" s in the left column ?"
109732,how far into the future are you planning on forecasting ?
128812,it looks correct to me ( what did you get for the endpoints ?
31495,"so the two factors in your anova are pre / post and treatment , for a 2 x 3 design ?"
31577,can you include the code you used to produce this error ?
31813,the most important question to answer is whether or not when you sampled from each stratum did you do it at random ?
31922,"since you want to find the effect of the predictors - $ x_1 , . . . , x_n $ on a univariate response $ y $ , this seems like a classical _multiple_ regression modeling problem ( not _multivariate_ , which would imply you have multiple dependent variables ) . is there any reason multiple regression doesn't do what you need ?"
32243,"david , can you explain to me please what's the difference between full matching and 1-to-1 matching ?"
32323,do you mean different approaches _to classification_ in lda for two groups ?
32432,do you have a preference for a particular software ?
32528,do you have any data / theory as to what points are outliers ?
32666,"so , just to clarify , each $ ( x_i , y_i ) sim f_i times g_i $ pair has a different distribution and you want to consider a convex combination $ h = sum_i w_i ( f_i times g_i ) $ ?"
33048,do the $ t $ 's represent times ?
33384,are you trying to predict improvements / declines based upon past performance or just determine at a given point whether there has been improvement ?
33656,could you confirm that $ z = u $ ?
33676,is this homework ?
33721,what do you mean that you have nested data as a result of having replicates ?
33778,"is a = 0 , b = 1 , c = 10 a valid coding ?"
33852,maybe a duplicate of [ is it problematic if one predictor in a set accounts for almost all the prediction ?
34065,"on the face of it , this question ought to have a routine answer in the sas manuals and help files . is there something in those references that you need help with ?"
34272,what sort of regression do mean ?
34330,does this happen for all cases of one variable ?
34354,hmm can we consider bridges that are pinned to non-zero locations ?
34479,can you explain your situation a bit more ?
35019,just a quick check : do any of the independent variables have missing values ?
35274,do you know what the conditioning event is * a priori * ( up to the values of the parameters ) ?
35299,is there a particular language you would * like * it in ?
35393,are these observations independent ?
35732,what is the point of a var in this case ?
35766,which part is unclear ?
35811,what does saturates mean ?
35999,where have you found that terminology ?
36266,what do you mean by rescore ?
37628,"well , for your data , the harmonic mean is not defined ! why do you want to use an harmonic mean ?"
38755,"welcome to the site ! to get a better answer , you might want to be more specific : what is did specification ?"
38839,did you find [ this ] ( url ) ?
38922,"pardon me for asking , but what exactly do you mean with non-negative lasso ?"
38952,are $ x_1 $ and $ x_2- mu_1 $ _standard_ normal random variables ?
38973,"what is the "" x = 55 "" in the first paragraph ?"
39268,"just interested , where can i read about why red noise is the same as ar ( 1 ) stationary gaussian process with a positive correlation at unit lag ?"
40348,"you'll need to provide more information on your dataset to get helpful answers . in particular , what do these percentages represent ?"
40515,"you say you want to compute "" the probability of this grouping being correct "" . by "" correct "" do you mean that it will naturally be separated from the rest of the data in an unsupervised sense ( i . e . it will be a cluster ) ?"
40646,"this really depends on what you are trying to get with the rankings and the nature of the artist rankings . i am assuming that there are known "" artist ranks "" , but are these 1 , 2 , 3 . . . . ( and who's number 1 ?"
40697,why not set h = 365 292 7 ?
40698,what exactly is your question here ?
40768,"do you know what k1 and k2 are , and can you calculate them ?"
40884,can you say which cv question you are referring to ?
40961,"do you mean inter-rater reliability , or are you asking whether the rater was consistent within themself based on having done the tracing more than once ?"
41023,can you clarify what you meant by writing $ y-x beta_ { neg } $ ?
41141,welcome to the site . is this homework ?
41210,are you * only * interested in packages for this in r ?
41276,can you not just calculate the r ^ 2 on each test fold ?
41368,""" ranking "" per [ everitt ] ( url ) ( at least , an earlier edition ) just means "" the process of sorting a set of variables into ascending or descending order "" . so , what do you mean by ranking ?"
41549,what does this plot do ?
41678,"beside possible lack of power ( but power / sample size should have been determined beforehand ) , what else would you like to say ?"
41714,have you looked at our [ tag : books ] list ?
41876,"could you provide more information , including what is exactly the _balance score_ ?"
43140,is this homework ?
43197,is your restricted model nested within your unrestricted model ?
43571,could you indicate what size this matrix has and what form of pca you need to do ?
43629,is that $ y_1 lt -x_1 $ or $ y_1 leftarrow x_1 $ or possibly the r code ` y1 - x1 ` ?
43955,is it atmospheric data ?
44003,have you searched the site ?
44099,* * hint * * : what the independence assumption implies on the expectation of the product ?
44133,"so if you are given i . i . d . observations $ ( x_1 , y_1 ) , ( x_2 , y_2 ) , ldots , ( x_n , y_n ) $ , can't you just form a likilihood function $ l ^ n ( lambda ) $ and then solve the optimization problem : $ max_ { lambda big lambda leq 1 } l ^ n ( lambda ) $ ?"
44256,are you confounding observations and variables ?
44385,"i think you're going to need more information to do this . eg , how often will the units be measured , once per year ?"
44461,what kind of bayesian survival analysis are you talking about ?
44469,you may find [ how to ask a statistics question ] ( url ) helpful . what are you trying to find out ?
44536,what loss function ( s ) do you have in mind ?
44748,does ` r ` know wealth quintile is a factor ?
44794,"since you have used the ` normal-distribution ` tag , which part of the problem do _you_ think involves the normal distribution ?"
45033,what distribution do you want to test against & why ?
45188,do i understand correctly that you want the confidence interval for the prediction of _one_ case ?
45466,who is the audience / what is the goal for the picture ?
45630,is this a homework assignment ?
45866,curious why you would model all of your effects as random ?
45910,"what does "" ff "" mean ?"
45979,i don't quite follow the premise of your question . are you asking how to know if your time-series data are stationary ?
45988,what makes your outliers outliers ?
46422,looks like this should be tagged ` homework ` . what have you tried ?
46502,"by $ x $ & $ y $ in the roc curve , i gather you mean the * false positive rate * & the * true positive rate * , right ?"
47115,i don't see how the sediments are important here . aren't you counting the marbles ?
47209,what are your results ?
47251,looking at the source of sm : : hsj the function looks pretty easy to rewrite in java . . . is there any reason you are not doing it ?
47353,stable = stationary ?
47429,"do you mean "" or $ h_a : mu geq mu_0 $ "" ?"
47462,"you say that you have 8 measurements per individual , but list 6 measurement occasions , can you clarify this ?"
47521,is this homework ?
47707,is this a homework problem ?
47863,you are right that the prior becomes irrelevant when you have large $ n $ . what is the sample size here ?
47902,what does it mean that f is a replicate of d ?
48042,is this homework ?
48076,many of * which * articles ?
48224,what is your current model ?
48234,as in . . . x contributed to the model ?
25724,"well , you could write you own code . . . what exactly are you asking ?"
48518,"it's good you're having trouble , because the conclusion is false unless $ k $ has some special values . what do you know about $ k $ ?"
48749,"perhaps your notation is confusing you , so let's write the decomposition as $ p' lambda d lambda'p = ll' $ . now isn't it obvious that $ l = p' lambda sqrt { d } $ where the square root is applied to the diagonal elements of $ d $ ?"
48813,what is it that you want to find out ?
48817,"what constitutes a "" good approximation "" in this context ?"
28170,"speaking about those 2 categorical variables you in effect described them as ordinal . now , what's about the rest 2 "" ordinal "" variables ?"
49125,"it sounds like you have * * multiple * * outcome measures , do i have that right ?"
49166,what area are you in ?
49391,""" . . . so i have been attempting to use qvalue r package to relax the fdr and therefore gain a greater number of significant p-values . "" * danger , will robinson ! * what is the point of gaining a greater number of significant $ p $ -values here ?"
49557,'efficiency' has a different meaning in statistics . did you mean 'computational complexity' ?
49632,"this sounds like a ( speculative , unmotivated ) answer in search of a question . what problem are you trying to solve here ?"
49867,"when you say "" multivariate "" are you referring to * multiple ( ordinal ) response variables * , or just multiple explanatory / predictor variables ?"
49871,are the group information of the observations known ?
50081,by cumulative sum do you mean rolling some with a period of k ( eg the sum of the last 20 flights late times ) ?
50129,"is the data published as a data set or did you "" scrape "" it off the site ?"
50447,"why do you call it "" linear "" if you are using a polynomial ?"
50663,is the definition given in [ wikipedia ] ( url ) sufficient for your purposes ?
50677,you want to test for serial correlation ?
50920,can you show us the data ( using graphs ) ?
50926,"could you expand what "" rct "" means ?"
51070,by q-values are you referring to benjamini-hochberg adjusted p-value or to local fdr ?
51107,is this homework ?
51453,what is _a_ in the expression ?
51501,"what do you mean by "" new observations "" ?"
51624,"if your fixed effects fit isn't ols , how did you fit it ?"
51802,"this seems rather close to your [ earlier question ] ( url ) . is this the same question worded a different way , or an actually different issue ?"
52081,"it is not obvious to me what fit2 is . for example , what do you get when you regress 30 values of y on the factor x having 30 levels ?"
55555,"it's probably best to * avoid * going about it . if that doesn't make sense / you want to understand why , it may help to read my answer here : [ algorithms-for-automatic-model-selection ] ( url ) . why are you opposed to regularization ?"
62593,do you know how each measure is calculated ?
63565,have you tried logistic regression with a lasso penalty ?
71523,they should be the same . can you post the full question ?
74367,"you should post on one site . if there is no response , delete your question then post on another . read "" is it acceptable to post on multiple sites ?"
85508,"what do you mean by "" finding which parameters of the model are likely "" ?"
87729,"would this be something like time to first , second and third infection / time to failure of three different parts of a machine / time to different disease stages ?"
131089,do you really need to apply any correction to your p values ?
210366,are you saying that you are trying to predict y and you train a linear model with log ( y ) as the output and an svm model with y as the output ?
213417,what else do you know about the coins ?
224896,do you have data that includes weather catastrophes ?
68100,"online documentation indicates the degrees of freedom will be $ a b-2 , $ where $ a $ is sample size of numerator and $ b $ is sample size of denominator . why do you think it should be 1 degree of freedom ?"
276553,"that could be a reasonable interpretation , but it would be case-specific . would you expect the stores to be all ( or mostly ) competitors ?"
284603,"what do you mean by "" true type i error rate "" ?"
287473,can you define the columns / attributes in your dataset before and after the aggregation ?
300343,you cannot say beforehand what the best model is . this also depends on the goal you want to achieve . are you only interested in accuracy ?
47815,i'm afraid i don't understand the question . could you restate it or elaborate it ?
48527,can you be more specific ?
158410,"when you say "" we "" who are you including ?"
32431,what do you mean under ` nonlinear regression . . . with the help of genetic programming ` ?
32552,can you describe your data a little more ?
38578,what software are you using ?
43867,"it looks like this is part of a chapter on discrimination between sets . in your first pair of graphs , the one on the left clearly doesn't distinguish well between the three sets of points . does that answer your question ?"
46594,welcome to the site . do you mean that you actually have 120 questions ?
48495,what is the dimension of said variable ?
51153,did your variable fulfill the assumptions of t-test ?
61612,this is easy to answer for thresholds $ t le n $ --you're just computing volumes of hyperspheres--but more difficult to work out for $ t gt n $ . are you in either of those situations ?
53340,could you be more precise ?
53333,"couple of books that you might be interested in "" what if there were no significance tests ?"
50825,are you at all familiar with prior distributions and posterior distributions ?
59100,"i'm not sure what you mean here , what k = 1 means ?"
60216,it's certainly * possible * ; the questions are more 'how' and 'does it have the properties you want' ?
68799,please clarify this question : what setting do you have in mind where we cannot estimate a population variance ?
71330,do you have the source of that statement ?
71976,"if you were given just the formulas for these functions and not told that they were cdfs or pdfs ( in fact , suppose that you had no knowledge whatsoever of probability and / or statistics ) , could you find the partial derivatives using standard calculus techniques such as the chain rule ?"
73173,"who considers the first order statistic to be a good initial estimate of a location parameter , & in what context ?"
74358,having read the snippet provided i'm not sure what algorithm you mean . are you referring to the calculation of $ inst ( h ) $ given in equation ( 2 ) ?
74743,"what do you mean by "" important "" ?"
76635,what is sbc ?
81251,how are these graphics supposed to work ?
52721,it is important to hear _why_ you see such data problematic for you . something made you to post the question . what was that ?
52935,"because there are many ways to "" make a nonlinear fit , "" please provide some details of what you are doing , including what program you are using . ( doesn't the program's documentation explain its output ?"
53033,how many survey responses do you have ?
53377,""" ceptrum "" = [ "" cepstrum "" ] ( url ) ?"
55321,what is the end goal here ?
55772,"you say that the questions have been marked as right or wrong , but are there multiple questions ?"
55862,nsc10 where exactly did you get stuck ?
56042,1 ) uniform on what ?
33928,i wonder if ( multiple ) correspondence analysis would allow you to do ( 1 ) and ( 2 ) ?
56156,why would you look at the entire genome when you have a control for the region that you know you are interested in ?
56226,maybe you're thinking of ` plm ` ?
56442,is this homework ?
56481,are the seasons the same length ?
57165,did you try to email the authors and ask ?
57258,"how is "" a curve "" defined ?"
57307,"welcome to the site . i have tidied up your question a little . please check the faq , especially the later part of the section relating to [ asking questions ] ( url ) , where it relates to homework . please add the ` self-study ` tag and read the [ self-study tag wiki ] ( url ) . with those pieces of information in mind . . . what do you understand about the pivotal method and what have you tried ?"
57684,"the question asks about alpha , the final line about lambda . i might be missing something , but is this a typo ?"
57938,"to what "" bulging rules "" are you referring ?"
58096,have you tried ` tseries ` or ` tsa ` packages ?
58121,is the range always the same ?
58136,i gather your response is binary ( positive vs . negative ) . what is the status of your explanatory variables ?
58371,are these paired measurements or not ?
41441,do you have any basis at all to convert poll results to probabilities ?
58406,did you mean to say $ f ( 0 ) = 0 $ instead of $ f ( 0 ) = 1 $ ?
58479,did you learn russian ?
59046,welcome to cv . i don't recognize the upshot of your question . why couldn't you just use standard regression ?
59134,how do you pre-process your datas ?
59359,where is your model with random effects ?
59421,"excuse me , why did you delete the plot i went to the trouble of including for illustration ?"
59631,"when you add a constant to all values , that changes * only * the mean and not the sd . when you rescale all values , that changes all moments but in a predictable way . in particular , it will not change the mean if the mean is already zero . so , why not ( a ) shift the variable to make the mean zero , then ( b ) rescale it to make the sd equal to 10 ( leaving the mean equal to zero ) , then ( c ) shift the mean to 5 ?"
59755,have you read this [ documentation for the changepoint package ] ( url ) ?
59823,have you had a look at rpois ( ) ?
60004,how are the $ x_i $ ( cor ) related ?
60024,do you get any error messages or warnings ?
60037,"to my eye you seem to be conflating different things , but it might just be a difference in terminology ( different areas often use terms puzzling to others ) . can you point to an example of a "" gaussian process "" itself being called a "" smoother "" , rather than say a computation applied to the output of a gaussian process ?"
